TAXON_ORDER,category,English name,scientific name
1,species,Common Ostrich,Struthio camelus
2,subspecies,,Struthio camelus camelus
3,subspecies,,Struthio camelus syriacus
4,subspecies,,Struthio camelus massaicus
5,subspecies,,Struthio camelus australis
6,species,Somali Ostrich,Struthio molybdophanes
7,slash,Common/Somali Ostrich,Struthio camelus/molybdophanes
8,species,Greater Rhea,Rhea americana
9,subspecies,,Rhea americana araneipes
10,subspecies,,Rhea americana americana
11,subspecies,,Rhea americana nobilis
12,subspecies,,Rhea americana albescens
13,subspecies,,Rhea americana intermedia
14,species,Lesser Rhea,Rhea pennata
15,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
16,subspecies,,Rhea pennata garleppi
17,subspecies,,Rhea pennata tarapacensis
18,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata
19,species,Tawny-breasted Tinamou,Nothocercus julius
20,species,Highland Tinamou,Nothocercus bonapartei
21,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
22,subspecies,,Nothocercus bonapartei intercedens
23,subspecies,,Nothocercus bonapartei discrepans
24,subspecies,,Nothocercus bonapartei bonapartei
25,subspecies,,Nothocercus bonapartei plumbeiceps
26,group (monotypic),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
27,species,Hooded Tinamou,Nothocercus nigrocapillus
28,subspecies,,Nothocercus nigrocapillus cadwaladeri
29,subspecies,,Nothocercus nigrocapillus nigrocapillus
30,species,Gray Tinamou,Tinamus tao
31,subspecies,,Tinamus tao larensis
32,subspecies,,Tinamus tao kleei
33,subspecies,,Tinamus tao septentrionalis
34,subspecies,,Tinamus tao tao
35,species,Solitary Tinamou,Tinamus solitarius
36,species,Black Tinamou,Tinamus osgoodi
37,subspecies,,Tinamus osgoodi hershkovitzi
38,subspecies,,Tinamus osgoodi osgoodi
39,species,Great Tinamou,Tinamus major
40,subspecies,,Tinamus major robustus
41,subspecies,,Tinamus major percautus
42,subspecies,,Tinamus major fuscipennis
43,subspecies,,Tinamus major castaneiceps
44,subspecies,,Tinamus major brunneiventris
45,subspecies,,Tinamus major saturatus
46,subspecies,,Tinamus major latifrons
47,subspecies,,Tinamus major zuliensis
48,subspecies,,Tinamus major peruvianus
49,subspecies,,Tinamus major serratus
50,subspecies,,Tinamus major major
51,subspecies,,Tinamus major olivascens
52,species,White-throated Tinamou,Tinamus guttatus
53,spuh,Tinamus sp.,Tinamus sp.
54,species,Cinereous Tinamou,Crypturellus cinereus
55,species,Berlepsch's Tinamou,Crypturellus berlepschi
56,species,Little Tinamou,Crypturellus soui
57,subspecies,,Crypturellus soui meserythrus
58,subspecies,,Crypturellus soui modestus
59,subspecies,,Crypturellus soui capnodes
60,subspecies,,Crypturellus soui poliocephalus
61,subspecies,,Crypturellus soui panamensis
62,subspecies,,Crypturellus soui harterti
63,subspecies,,Crypturellus soui caucae
64,subspecies,,Crypturellus soui mustelinus
65,subspecies,,Crypturellus soui soui
66,subspecies,,Crypturellus soui caquetae
67,subspecies,,Crypturellus soui andrei
68,subspecies,,Crypturellus soui nigriceps
69,subspecies,,Crypturellus soui inconspicuus
70,subspecies,,Crypturellus soui albigularis
71,species,Tepui Tinamou,Crypturellus ptaritepui
72,species,Brown Tinamou,Crypturellus obsoletus
73,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
74,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
75,subspecies,,Crypturellus obsoletus ochraceiventris
76,subspecies,,Crypturellus obsoletus traylori
77,subspecies,,Crypturellus obsoletus punensis
78,subspecies,,Crypturellus obsoletus cerviniventris
79,subspecies,,Crypturellus obsoletus knoxi
80,subspecies,,Crypturellus obsoletus griseiventris
81,subspecies,,Crypturellus obsoletus hypochraceus
82,subspecies,,Crypturellus obsoletus obsoletus
83,species,Undulated Tinamou,Crypturellus undulatus
84,subspecies,,Crypturellus undulatus manapiare
85,subspecies,,Crypturellus undulatus simplex
86,subspecies,,Crypturellus undulatus yapura
87,subspecies,,Crypturellus undulatus vermiculatus
88,subspecies,,Crypturellus undulatus adspersus
89,subspecies,,Crypturellus undulatus undulatus
90,species,Pale-browed Tinamou,Crypturellus transfasciatus
91,species,Brazilian Tinamou,Crypturellus strigulosus
92,species,Gray-legged Tinamou,Crypturellus duidae
93,species,Red-legged Tinamou,Crypturellus erythropus
94,subspecies,,Crypturellus erythropus columbianus
95,subspecies,,Crypturellus erythropus saltuarius
96,subspecies,,Crypturellus erythropus idoneus
97,subspecies,,Crypturellus erythropus cursitans
98,subspecies,,Crypturellus erythropus spencei
99,subspecies,,Crypturellus erythropus margaritae
100,subspecies,,Crypturellus erythropus erythropus
101,species,Yellow-legged Tinamou,Crypturellus noctivagus
102,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
103,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
104,species,Black-capped Tinamou,Crypturellus atrocapillus
105,subspecies,,Crypturellus atrocapillus atrocapillus
106,subspecies,,Crypturellus atrocapillus garleppi
107,species,Slaty-breasted Tinamou,Crypturellus boucardi
108,subspecies,,Crypturellus boucardi boucardi
109,subspecies,,Crypturellus boucardi costaricensis
110,species,Choco Tinamou,Crypturellus kerriae
111,species,Variegated Tinamou,Crypturellus variegatus
112,species,Thicket Tinamou,Crypturellus cinnamomeus
113,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
114,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
